177;2024-06-25;9;1
178;2024-06-26;14;1
179;2024-06-27;16;2
180;2024-06-28;21;1
181;2024-06-29;2;2
182;2024-06-30;7;1
183;2024-07-01;12;1
184;2024-07-02;17;2
185;2024-07-03;19;1
186;2024-07-04;4;2
187;2024-07-05;10;1
188;2024-07-06;13;1
189;2024-07-07;18;2
190;2024-07-08;22;1
191;2024-07-09;1;3
192;2024-07-10;8;1
193;2024-07-11;15;1
194;2024-07-12;16;2
195;2024-07-13;23;1
196;2024-07-14;3;2
197;2024-07-15;6;1
198;2024-07-16;11;1
199;2024-07-17;17;2
200;2024-07-18;20;1
201;2024-07-19;5;2
202;2024-07-20;9;1
203;2024-07-21;14;1
204;2024-07-22;16;2
205;2024-07-23;21;1
206;2024-07-24;2;2
207;2024-07-25;7;1
208;2024-07-26;12;1
209;2024-07-27;17;2
210;2024-07-28;19;1
211;2024-07-29;4;2
212;2024-07-30;10;1
213;2024-07-31;13;1
214;2024-08-01;18;2
215;2024-08-02;22;1
216;2024-08-03;1;3
217;2024-08-04;8;1
218;2024-08-05;15;1
219;2024-08-06;16;2
220;2024-08-07;23;1
221;2024-08-08;3;2
222;2024-08-09;6;1
223;2024-08-10;11;1
224;2024-08-11;17;2
225;2024-08-12;20;1
226;2024-08-13;5;2
227;2024-08-14;9;1
228;2024-08-15;14;1
229;2024-08-16;16;2
230;2024-08-17;21;1
231;2024-08-18;2;2
232;2024-08-19;7;1
233;2024-08-20;12;1
234;2024-08-21;17;2
235;2024-08-22;19;1
236;2024-08-23;4;2
237;2024-08-24;10;1
238;2024-08-25;13;1
239;2024-08-26;18;2
240;2024-08-27;22;1
241;2024-08-28;1;3
242;2024-08-29;8;1
243;2024-08-30;15;1
244;2024-08-31;16;2
245;2024-09-01;23;1
246;2024-09-02;3;2
247;2024-09-03;6;1
248;2024-09-04;11;1
249;2024-09-05;17;2
250;2024-09-06;20;1
251;2024-09-07;5;2
252;2024-09-08;10;1
253;2024-09-09;14;1
254;2024-09-10;16;2
255;2024-09-11;21;1
256;2024-09-12;2;2
257;2024-09-13;7;1
258;2024-09-14;12;1
259;2024-09-15;17;2
260;2024-09-16;19;1
261;2024-09-17;4;2
262;2024-09-18;10;1
263;2024-09-19;13;1
264;2024-09-20;18;2
265;2024-09-21;22;1
266;2024-09-22;1;3
267;2024-09-23;8;1
268;2024-09-24;15;1
269;2024-09-25;16;2
270;2024-09-26;23;1
271;2024-09-27;3;2
272;2024-09-28;6;1
273;2024-09-29;11;1
274;2024-09-30;17;2
275;2024-10-01;20;1
276;2024-10-02;5;2
277;2024-10-03;9;1
278;2024-10-04;14;1
279;2024-10-05;16;2
280;2024-10-06;21;1
281;2024-10-07;2;2
282;2024-10-08;7;1
283;2024-10-09;12;1
284;2024-10-10;17;2
285;2024-10-11;19;1
286;2024-10-12;4;2
287;2024-10-13;10;1
288;2024-10-14;13;1
289;2024-10-15;18;2
290;2024-10-16;22;1
291;2024-10-17;1;3
292;2024-10-18;8;1
293;2024-10-19;15;1
294;2024-10-20;16;2
295;2024-10-21;23;1
296;2024-10-22;3;2
297;2024-10-23;6;1
298;2024-10-24;11;1
299;2024-10-25;17;2
300;2024-10-26;20;1
300;2024-10-26;1;1
300;2024-10-26;29;1
